nome;numero;pagina
Meu Deus, meu pai;001;4
Pai, estou a te clamar;002;5
Clamo, ó Senhor por teu sangue;003;6
Clamo, ó Senhor;004;7
Estou aqui pra confessar;005;8
Perdoa-me, Senhor;006;9
É teu sangue, meu Senhor Jesus;007;10
Diante do teu altar;008;11
Dobro os meus joelhos;009;13
Clama, ó igreja;010;14
Clamo a ti, meu Senhor e Pai (Uma nova Canção);011;16
Perdoa-me, Senhor, segundo o Seu amor;012;18
Purificado com sangue estou;013;19
Te suplico, ó Deus, em oração;014;20
Jesus, vem me abençoar;015;21
Pai celeste;016;21
Quando falo com Deus;017;22
Buscai ao Senhor;018;24
Quando Davi ao Senhor orava;019;25
Quando oro ao Senhor;020;26
Santo, Justo, Príncipe da Vida;021;26
Faze oração;022;27
Quando Israel saiu do Egito;023;28
Uma ovelhinha de Jesus eu sou;024;29
Onde quer que tu fores, irei Jesus;025;30
Eu sou uma ovelhinha de Jesus;026;31
Ele é a raiz;027;32
Sou uma criança feliz;028;33
Jesus, quando me lembro;029;34
Ele vive em mim;030;35
Eu quero ser o sal da terra;031;35
Príncipe da paz;032;36
Cristo, meu bom Mestre;033;37
Tenho um Senhor muito forte;034;38
Quero ser como Davi;035;39
Eu quero andar sempre com Jesus;036;40
No meu coração há um tesouro (Príncipe da Vida);037;41
Tenho um coração alegre;038;43
Na areia não quero construir (Firme, sim!);039;44
Quero ouvir (meu querer);040;46
A minha casa firme está;041;48
Minha vida e meu coração;042;48
Sou feliz!;043;49
Sou servo do Senhor;044;50
Jesus ressuscitou! (Meu amigo Jesus);045;51
Como é bom servir a Deus;046;52
Tenho no meu coração;047;54
Jesus Cristo é o amado;048;56
A minha alegria é crescer com o meu Senhor;049;57
Do alto céu;050;59
Eis-me aqui, Senhor, em teu altar;051;60
Seu nome é maravilhoso;052;61
É bom, é bom demais;053;62
Como é bom saber;054;62
É somente teu meu coração;055;63
Cristo é o Senhor;056;64
Há uma linda canção de amor;057;64
Viver é tão lindo;058;65
O nome do meu Senhor!;059;66
Deus falou comigo;060;68
Sei que na cruz seu sangue verteu;061;69
É tão triste não ver a luz (Cego bastimeu);062;70
Tem bom ânimo, pobre pecador;063;71
Eu vou contar uma história (Zaqueu);064;72
Onde nasceu Jesus;065;73
Nasceu um novo dia;066;74
Maravilha é o amor de Deus;067;74
Vem para o meio (Águas de salvação);068;76
Você sabe o que é salvação;069;77
O dia do Senhor virá (O sol da justiça);070;78
Jesus viu a multidão (A multiplicação);071;80
Tu és o Cristo, filho do Deus vivo;072;81
De eternidade a eternidade;073;82
Aquilo que melhor existe;074;85
Você sabe quem foi João Batista;075;86
Jesus falou que o céu é pra mim;076;88
Vou contar-vos de Jesus;077;89
O Senhor é a minha luz e a minha salvação;078;90
Deus ama você;079;91
Existe um lugar;080;92
Quando ouvi Jesus me chamar;081;92
Jesus vem nos buscar;082;93
Foi no caminho para Damasco;083;94
Queres ser feliz;084;95
Neste dia especial;085;95
Um dia morreu o meu Jesus;086;97
O Senhor é o bom pastor;087;99
Vou contar para você uma história especial;088;101
Certo homem, príncipe dos judeus (Nicodemos);089;104
Ele morreu, mas ressurgiu;090;105
Tenho algo pra você;091;107
Jesus cura e salva;092;109
Jesus te ama;093;110
Aquele que tem sede;094;113
Do pão do céu;095;114
Sonhei com Jesus esta noite;096;115
Jesus é o caminho;097;116
Eu abri meu coração;098;117
No meu coração;099;117
Cristo sente seu amor por mim;100;118
Jesus me ama;101;119
Das maravilhas que a Bíblia contém;102;120
Vinde, meninos;103;121
No caminho, ele me guiará;104;122
Haveremos de chegar;105;123
Jesus Cristo é o caminho;106;124
Eu quero cantar;107;125
Hoje é um grande dia;108;126
Canta, alegremente, ó filha de Sião;109;127
E tudo posso naquele que me fortalece;110;129
