nome                                                    ; ordinal; pdf
Meu Deus, meu Pai                                       ;       1;  10
Pai, estou a te clamar                                  ;       2;  10
Clamo ó Senhor, por teu sangue                          ;       3;  11
Clamo, ó Senhor, pelo sangue de Jesus                   ;       4;  11
Estou aqui pra confessar                                ;       5;  12
Perdoa-me, Senhor                                       ;       6;  12
É teu sangue, meu Senhor Jesus                          ;       7;  13
Diante do teu altar, Senhor                             ;       8;  13
Dobro os meus joelhos                                   ;       9;  14
Clama, ó igreja                                         ;      10;  14
Clamo a ti, meu Senhor e Pai                            ;      11;  15
Perdoa-me, Senhor, segundo o seu amor                   ;      12;  16
Purificado com sangue estou                             ;      13;  17
Te suplico, ó Deus                                      ;      14;  17
Jesus, vem me abençoar                                  ;      15;  18
Pai celeste                                             ;      16;  18
Quando falo com Deus                                    ;      17;  19
Buscai ao Senhor                                        ;      18;  20
Quando Davi ao Senhor orava                             ;      19;  20
Quando oro ao Senhor                                    ;      20;  21
Santo, Justo, Príncipe da Vida                          ;      21;  21
Faze oração                                             ;      22;  22
Quando Israel saiu do Egito                             ;      23;  22
Uma ovelhinha de Jesus eu sou                           ;      24;  23
Onde quer que tu fores irei, Jesus                      ;      25;  24
Eu sou uma ovelhinha                                    ;      26;  25
Ele é a Raiz de Davi                                    ;      27;  25
Sou uma criança feliz                                   ;      28;  26
Jesus, quando me lembro                                 ;      29;  27
Ele vive em mim                                         ;      30;  27
Eu quero ser o sal da terra                             ;      31;  28
Príncipe da Paz                                         ;      32;  28
Cristo meu bom mestre                                   ;      33;  29
Tenho um Senhor muito forte                             ;      34;  29
Quero ser como Davi                                     ;      35;  30
Eu quero andar sempre com Jesus                         ;      36;  30
No meu coração há um tesouro (Príncipe da vida)         ;      37;  31
Tenho um coração alegre                                 ;      38;  31
Na areia não quero construir (Firme sim!)               ;      39;  32
Quero ouvir (Meu querer)                                ;      40;  33
A minha casa firme está                                 ;      41;  34
Minha vida e meu coração                                ;      42;  34
Sou feliz!                                              ;      43;  35
Sou servo do Senhor                                     ;      44;  35
Jesus ressuscitou! (Meu amigo Jesus)                    ;      45;  36
Como é bom servir a Deus                                ;      46;  37
Tenho no meu coração                                    ;      47;  38
Jesus Cristo é o amado                                  ;      48;  39
A minha alegria é crescer com meu Senhor                ;      49;  40
Do alto céu                                             ;      50;  41
Eis-me aqui, Senhor em teu altar                        ;      51;  42
Seu nome é maravilhoso                                  ;      52;  43
É bom, é bom demais                                     ;      53;  43
Como é bom saber que Jesus Cristo                       ;      54;  44
É somente teu meu coração, Senhor                       ;      55;  45
Cristo é o Senhor                                       ;      56;  45
Há uma linda canção de amor                             ;      57;  46
Viver é tão lindo                                       ;      58;  46
O nome do meu Senhor                                    ;      59;  47
Deus falou comigo                                       ;      60;  48
Sei que na cruz                                         ;      61;  48
É tão triste não ver a luz (O Cego Bartimeu)            ;      62;  49
Tem bom ânimo, pobre pecador                            ;      63;  50
Eu vou contar uma história (Zaqueu)                     ;      64;  51
Onde nasceu Jesus?                                      ;      65;  52
Nasceu um novo dia                                      ;      66;  52
Maravilha é o amor de Deus                              ;      67;  53
Vem para o meio (Águas de Salvação)                     ;      68;  54
Você sabe o que é salvação?                             ;      69;  55
O dia do Senhor virá (O sol da justiça)                 ;      70;  56
Jesus viu a multidão (A multiplicação)                  ;      71;  57
Tu és o Cristo, o Filho do Deus vivo                    ;      72;  58
De eternidade a eternidade                              ;      73;  59
Aquilo que melhor existe                                ;      74;  60
Você sabe quem foi João Batista?                        ;      75;  61
Jesus falou que o céu é pra mim                         ;      76;  62
Vou contar-vos de Jesus                                 ;      77;  63
O Senhor é a minha luz                                  ;      78;  63
Deus ama você                                           ;      79;  64
Existe um lugar                                         ;      80;  64
Quando ouvi Jesus me chamar                             ;      81;  65
Jesus vem nos buscar                                    ;      82;  66
Foi no caminho para Damasco                             ;      83;  67
Queres ser feliz?                                       ;      84;  68
Neste dia especial                                      ;      85;  68
Um dia morreu o meu Jesus                               ;      86;  69
O Senhor é o bom pastor                                 ;      87;  70
Vou contar para você uma história especial              ;      88;  71
Certo homem, príncipe dos judeus (Nicodemos)            ;      89;  72
Ele morreu, mas ressurgiu                               ;      90;  73
Tenho algo pra você                                     ;      91;  74
Jesus cura e salva                                      ;      92;  74
Jesus te ama                                            ;      93;  75
Aquele que tem sede                                     ;      94;  76
Do pão do céu                                           ;      95;  76
Sonhei com Jesus esta noite                             ;      96;  77
Jesus é o caminho                                       ;      97;  78
Eu abri meu coração                                     ;      98;  78
No meu coração                                          ;      99;  78
Cristo sente amor por mim                               ;     100;  79
Jesus me ama                                            ;     101;  80
Das maravilhas que a bíblia contém                      ;     102;  80
Vinde, meninos                                          ;     103;  81
No caminho ele me guiará                                ;     104;  82
Haveremos de chegar                                     ;     105;  83
Jesus Cristo é o caminho                                ;     106;  84
Eu quero cantar                                         ;     107;  84
Hoje é um grande dia                                    ;     108;  85
Canta alegremente, ó Filha de Sião                      ;     109;  86
Eu tudo posso naquele que me fortalece                  ;     110;  87
Entrega o teu caminho ao Senhor                         ;     111;  87
Consola-me Espírito Santo                               ;     112;  88
Tua mão é poderosa                                      ;     113;  88
O Senhor é quem cuida de mim                            ;     114;  89
Jesus, o bom pastor                                     ;     115;  90
Sobre as ondas                                          ;     116;  91
Deitada na relva uma feliz ovelha                       ;     117;  92
Uma âncora segura                                       ;     118;  93
Jesus, o melhor amigo                                   ;     119;  94
Poderá cantar                                           ;     120;  95
Meu barquinho                                           ;     121;  96
Cristo é meu amigo                                      ;     122;  97
Nesta batalha não tereis que pelejar                    ;     123;  97
O céu e a terra passarão                                ;     124;  98
Com Jesus vencedor serei                                ;     125;  98
Deus forte como Jeová                                   ;     126;  99
Cristo é vitória                                        ;     127;  99
Cristo é meu amigo, é meu amigo                         ;     128; 100
Ontem, hoje e para sempre                               ;     129; 101
Meu bom pastor é Cristo                                 ;     130; 101
Com Cristo no barco                                     ;     131; 101
Meu barco é pequeno                                     ;     132; 102
Jesus vê a sua igreja                                   ;     133; 102
Vou caminhando pra Jerusalém                            ;     134; 103
Flua em mim, Senhor                                     ;     135; 104
Lâmpada para os meus pés                                ;     136; 104
Não por força, nem por violência                        ;     137; 105
Sou um soldado do bom Salvador                          ;     138; 105
Dons do Espírito Santo                                  ;     139; 106
Uma luz resplandecente                                  ;     140; 106
Quem irá? (Preciosa semente)                            ;     141; 107
Como uma folha ao vento                                 ;     142; 108
Tenho uma candeia                                       ;     143; 108
Nova aliança                                            ;     144; 109
Revelação abre pra você                                 ;     145; 109
A igreja que ora é vitoriosa                            ;     146; 110
Em tuas pisadas                                         ;     147; 110
Andando em Espírito                                     ;     148; 111
Nós somos uma voz                                       ;     149; 111
Cinco Seixos                                            ;     150; 112
No princípio era o Verbo                                ;     151; 113
Nas batalhas sou um vencedor                            ;     152; 114
Como Noé                                                ;     153; 115
Com o Espírito de Deus em minha vida                    ;     154; 116
Quero estar em tua presença, ó Deus                     ;     155; 117
Somos cidadãos dos céus                                 ;     156; 118
Este mundo não é meu lugar                              ;     157; 119
No caminho eu quero estar                               ;     158; 120
Servo do Senhor eu sou                                  ;     159; 121
Existem segredos na tua Palavra                         ;     160; 122
Tu és pra mim um vaso escolhido                         ;     161; 123
Andai na minha presença                                 ;     162; 124
Dá-me um coração cheio do teu amor                      ;     163; 125
Dá-me um coração humilde e reto                         ;     164; 126
Quero ser santo para o Senhor                           ;     165; 127
Brilhando, brilhando                                    ;     166; 127
Daniel na cova dos leões                                ;     167; 128
Jesus chama os seus ministros                           ;     168; 129
Sete cartas                                             ;     169; 130
Nós somos a carta de Cristo                             ;     170; 131
Sou o Santo                                             ;     171; 132
Quatro coisas tão pequeninas                            ;     172; 133
Ouço o clamor do bom pastor                             ;     173; 134
A tua palavra é a semente                               ;     174; 135
Um certo pastorzinho                                    ;     175; 135
Cria em mim, ó Deus                                     ;     176; 136
Fala ao meu coração, Jesus                              ;     177; 136
Disse Jesus aos Judeus (Eu trabalho também)             ;     178; 137
Orar faz bem                                            ;     179; 137
Quero ser fiel (Jesus está vivo)                        ;     180; 138
Jerusalém, cidade do meu Rei                            ;     181; 138
Quero viver para sempre com Jesus                       ;     182; 139
Um novo céu, uma nova terra se fará                     ;     183; 140
No expresso viajamos                                    ;     184; 141
Há uma linda morada                                     ;     185; 141
Nossas vidas são mudadas                                ;     186; 142
Varões galileus                                         ;     187; 143
Jerusalém anseio ver                                    ;     188; 144
Um dia a igreja subirá                                  ;     189; 144
Igreja, Corpo de Cristo                                 ;     190; 145
A noiva amada do Cordeiro                               ;     191; 145
Vou pra Jerusalém                                       ;     192; 146
Há uma igreja que aguarda                               ;     193; 147
Na nova Jerusalém                                       ;     194; 147
Em breve estaremos na Glória                            ;     195; 148
Jesus nos prometeu                                      ;     196; 148
Maranata! Vem, Senhor Jesus                             ;     197; 149
O dia está chegando                                     ;     198; 150
Aguardando a orientação                                 ;     199; 151
Vou para o meu lar                                      ;     200; 152
Sobre as nuvens Jesus vem                               ;     201; 152
A Raabe veio a ordem                                    ;     202; 153
O fio de escarlata é o mistério                         ;     203; 154
Marchai! Marchai!                                       ;     204; 155
A minha alma espera                                     ;     205; 156
No céu um dia nós vamos morar                           ;     206; 156
Jesus prometeu nos buscar                               ;     207; 157
Eu quero ir para o céu                                  ;     208; 158
Se eu falo do grande amor do Pai                        ;     209; 159
Jesus voltará pra me buscar! (Maranata)                 ;     210; 160
Os dias estão passando                                  ;     211; 161
Sei que Cristo voltará                                  ;     212; 162
Lá no doce porvir                                       ;     213; 162
Nós receberemos lá no céu                               ;     214; 163
Eis que Jesus vem nas nuvens                            ;     215; 164
Sobre as nuvens descerá (Ele virá)                      ;     216; 165
Verei meu grande Rei                                    ;     217; 166
Maranata!                                               ;     218; 167
Ele virá no meio da noite                               ;     219; 168
Onde vive o Rei da Glória?                              ;     220; 169
Vai raiar o dia                                         ;     221; 170
Deus habita no meio dos louvores                        ;     222; 171
Pai, tua beleza me admira                               ;     223; 172
Deus criou os céus e a terra                            ;     224; 173
Eu vim aqui, Senhor                                     ;     225; 174
Irei cantar e adorar ao Rei Jesus                       ;     226; 175
A Jesus irei louvar                                     ;     227; 176
Hosana ao Filho de Davi                                 ;     228; 176
Cantai alegremente a Deus                               ;     229; 177
Esta canção                                             ;     230; 177
Todo ser que tem fôlego louve                           ;     231; 178
Hoje eu não quero pedir                                 ;     232; 178
Na cidade de Davi                                       ;     233; 179
Sei que sou amado do meu Salvador                       ;     234; 180
Senhor, eu te louvarei                                  ;     235; 181
Senhor Deus, tu és varão de guerra                      ;     236; 181
Muitos motivos tenho                                    ;     237; 182
Eu vou cantar, cantar, cantar                           ;     238; 183
Jesus é a nossa vitória                                 ;     239; 183
O Senhor dos exércitos está aqui                        ;     240; 184
Exaltai, exaltai                                        ;     241; 185
Eu clamo, eu oro                                        ;     242; 186
Na batalha eu oro ao Senhor (A vitória da igreja)       ;     243; 186
Saindo de casa naquele dia (As parábolas do Reino)      ;     244; 187
Preparai-vos, ó igreja amada                            ;     245; 188
Está chegando a hora                                    ;     246; 189
Jesus voltará                                           ;     247; 189
Muito em breve o Rei vem!                               ;     248; 190
Esta é a mensagem eterna de Deus (Tempo de reconstrução);     249; 190
Deus Excelso                                            ;       1; 192
Quem é Deus como o nosso Deus?                          ;       2; 193
Preciosa Semente                                        ;       3; 194
Senhor, tão pequeno sou                                 ;       4; 195
Deus tremendo                                           ;       5; 196
Está na hora                                            ;       6; 197
O Senhor é o meu Pastor (Salmo 23)                      ;       7; 198
Fiel como Daniel                                        ;       8; 198
Maravilhoso és pra mim (Ele é pra mim)                  ;       9; 199
Na imensidão                                            ;      10; 200
Ele é o pão da vida                                     ;      11; 200
Deus de Maravilhas                                      ;      12; 201
Jesus, quero te ofertar (Jesus, eu te amo)              ;      13; 202
Sei que existe mais além                                ;      14; 203
Há uma festa hoje aqui                                  ;      15; 203
Jesus está preparando uma festa                         ;      16; 204
Nas lutas e provas                                      ;      17; 205
Conheçamos e prossigamos                                ;      18; 206
A luz que brilha mais que o sol                         ;      19; 207
