nome                                           ; numero; pdf
Meu Deus, meu pai                              ;    001; 02.pdf
Pai, estou a te clamar                         ;    002; 02.pdf
Clamo, ó Senhor por teu sangue                 ;    003; 02.pdf
Clamo, ó Senhor                                ;    004; 03.pdf
Estou aqui pra confessar                       ;    005; 03.pdf
Perdoa-me, Senhor                              ;    006; 04.pdf
É teu sangue, meu Senhor Jesus                 ;    007; 04.pdf
Diante do teu altar                            ;    008; 05.pdf
Dobro os meus joelhos                          ;    009; 05.pdf
Clama, ó igreja                                ;    010; 06.pdf
Clamo a ti, meu Senhor e Pai (Uma nova Canção) ;    011; 06.pdf
Perdoa-me, Senhor, segundo o Seu amor          ;    012; 07.pdf
Purificado com sangue estou                    ;    013; 07.pdf
Te suplico, ó Deus, em oração                  ;    014; 08.pdf
Jesus, vem me abençoar                         ;    015; 08.pdf
Pai celeste                                    ;    016; 09.pdf
Quando falo com Deus                           ;    017; 09.pdf
Buscai ao Senhor                               ;    018; 10.pdf
Quando Davi ao Senhor orava                    ;    019; 10.pdf
Quando oro ao Senhor                           ;    020; 11.pdf
Santo, Justo, Príncipe da Vida                 ;    021; 11.pdf
Faze oração                                    ;    022; 12.pdf
Quando Israel saiu do Egito                    ;    023; 12.pdf
Uma ovelhinha de Jesus eu sou                  ;    024; 13.pdf
Onde quer que tu fores, irei Jesus             ;    025; 13.pdf
Eu sou uma ovelhinha de Jesus                  ;    026; 14.pdf
Ele é a raiz                                   ;    027; 14.pdf
Sou uma criança feliz                          ;    028; 15.pdf
Jesus, quando me lembro                        ;    029; 16.pdf
Ele vive em mim                                ;    030; 16.pdf
Eu quero ser o sal da terra                    ;    031; 17.pdf
Príncipe da paz                                ;    032; 17.pdf
Cristo, meu bom Mestre                         ;    033; 17.pdf
Tenho um Senhor muito forte                    ;    034; 18.pdf
Quero ser como Davi                            ;    035; 18.pdf
Eu quero andar sempre com Jesus                ;    036; 18.pdf
No meu coração há um tesouro (Príncipe da Vida);    037; 19.pdf
Tenho um coração alegre                        ;    038; 19.pdf
Na areia não quero construir (Firme, sim!)     ;    039; 20.pdf
Quero ouvir (meu querer)                       ;    040; 21.pdf
A minha casa firme está                        ;    041; 21.pdf
Minha vida e meu coração                       ;    042; 22.pdf
Sou feliz!                                     ;    043; 22.pdf
Sou servo do Senhor                            ;    044; 22.pdf
Jesus ressuscitou! (Meu amigo Jesus)           ;    045; 23.pdf
Como é bom servir a Deus                       ;    046; 23.pdf
Tenho no meu coração                           ;    047; 24.pdf
Jesus Cristo é o amado                         ;    048; 25.pdf
A minha alegria é crescer com o meu Senhor     ;    049; 25.pdf
Do alto céu                                    ;    050; 26.pdf
Eis-me aqui, Senhor, em teu altar              ;    051; 26.pdf
Seu nome é maravilhoso                         ;    052; 27.pdf
É bom, é bom demais                            ;    053; 27.pdf
Como é bom saber                               ;    054; 28.pdf
É somente teu meu coração                      ;    055; 28.pdf
Cristo é o Senhor                              ;    056; 29.pdf
Há uma linda canção de amor                    ;    057; 29.pdf
Viver é tão lindo                              ;    058; 30.pdf
O nome do meu Senhor!                          ;    059; 30.pdf
Deus falou comigo                              ;    060; 31.pdf
Sei que na cruz seu sangue verteu              ;    061; 31.pdf
É tão triste não ver a luz (Cego bastimeu)     ;    062; 32.pdf
Tem bom ânimo, pobre pecador                   ;    063; 32.pdf
Eu vou contar uma história (Zaqueu)            ;    064; 33.pdf
Onde nasceu Jesus                              ;    065; 33.pdf
Nasceu um novo dia                             ;    066; 34.pdf
Maravilha é o amor de Deus                     ;    067; 34.pdf
Vem para o meio (Águas de salvação)            ;    068; 35.pdf
Você sabe o que é salvação                     ;    069; 35.pdf
O dia do Senhor virá (O sol da justiça)        ;    070; 36.pdf
Jesus viu a multidão (A multiplicação)         ;    071; 37.pdf
Tu és o Cristo, filho do Deus vivo             ;    072; 37.pdf
De eternidade a eternidade                     ;    073; 38.pdf
Aquilo que melhor existe                       ;    074; 39.pdf
Você sabe quem foi João Batista                ;    075; 40.pdf
Jesus falou que o céu é pra mim                ;    076; 41.pdf
Vou contar-vos de Jesus                        ;    077; 42.pdf
O Senhor é a minha luz e a minha salvação      ;    078; 42.pdf
Deus ama você                                  ;    079; 43.pdf
Existe um lugar                                ;    080; 43.pdf
Quando ouvi Jesus me chamar                    ;    081; 44.pdf
Jesus vem nos buscar                           ;    082; 45.pdf
Foi no caminho para Damasco                    ;    083; 46.pdf
Queres ser feliz                               ;    084; 46.pdf
Neste dia especial                             ;    085; 47.pdf
Um dia morreu o meu Jesus                      ;    086; 47.pdf
O Senhor é o bom pastor                        ;    087; 48.pdf
Vou contar para você uma história especial     ;    088; 49.pdf
Certo homem, príncipe dos judeus (Nicodemos)   ;    089; 50.pdf
Ele morreu, mas ressurgiu                      ;    090; 50.pdf
Tenho algo pra você                            ;    091; 51.pdf
Jesus cura e salva                             ;    092; 51.pdf
Jesus te ama                                   ;    093; 52.pdf
Aquele que tem sede                            ;    094; 53.pdf
Do pão do céu                                  ;    095; 53.pdf
Sonhei com Jesus esta noite                    ;    096; 54.pdf
Jesus é o caminho                              ;    097; 54.pdf
Eu abri meu coração                            ;    098; 55.pdf
No meu coração                                 ;    099; 55.pdf
Cristo sente seu amor por mim                  ;    100; 55.pdf
Jesus me ama                                   ;    101; 56.pdf
Das maravilhas que a Bíblia contém             ;    102; 56.pdf
Vinde, meninos                                 ;    103; 57.pdf
No caminho, ele me guiará                      ;    104; 57.pdf
Haveremos de chegar                            ;    105; 58.pdf
Jesus Cristo é o caminho                       ;    106; 58.pdf
Eu quero cantar                                ;    107; 59.pdf
Hoje é um grande dia                           ;    108; 59.pdf
Canta, alegremente, ó filha de Sião            ;    109; 60.pdf
E tudo posso naquele que me fortalece          ;    110; 61.pdf
Entrega o teu caminho                          ;    111; 61.pdf
Consola-me, Espírito Santo                     ;    112; 61.pdf
Tua mão é poderosa                             ;    113; 62.pdf
O Senhor é quem cuida de mim                   ;    114; 62.pdf
Jesus, o bom pastor                            ;    115; 63.pdf
Sobre as ondas                                 ;    116; 64.pdf
Deitada na relva uma feliz ovelha              ;    117; 65.pdf
Âncora segura                                  ;    118; 66.pdf
Jesus, o melhor amigo                          ;    119; 67.pdf
Poderá cantar                                  ;    120; 67.pdf
Meu barquinho                                  ;    121; 68.pdf
Cristo é um amigo                              ;    122; 68.pdf
Nesta batalha não tereis que pelejar           ;    123; 69.pdf
O céu e a terra passarão                       ;    124; 69.pdf
Com Jesus vencedor serei                       ;    125; 70.pdf
Deus forte como Jeová                          ;    126; 70.pdf
Cristo é vitória                               ;    127; 71.pdf
Cristo é meu amigo, é meu amigo                ;    128; 71.pdf
Ontem, hoje e para sempre                      ;    129; 71.pdf
Meu bom pastor é Cristo                        ;    130; 72.pdf
Com Cristo no barco                            ;    131; 72.pdf
Meu barco é pequeno                            ;    132; 72.pdf
Jesus vê a sua igreja                          ;    133; 73.pdf
Vou caminhando pra Jerusalém                   ;    134; 73.pdf
Flua em mim, Senhor                            ;    135; 74.pdf
Lâmpada para os meus pés                       ;    136; 74.pdf
Não por força                                  ;    137; 75.pdf
Sou um soldado do bom salvador                 ;    138; 75.pdf
Dons do Espírito Santo                         ;    139; 76.pdf
Uma luz resplandecente                         ;    140; 76.pdf
Quem irá (Preciosa semente)                    ;    141; 77.pdf
Como uma folha ao vento                        ;    142; 77.pdf
Tenho uma candeia (Candeia acesa)              ;    143; 78.pdf
Nova aliança                                   ;    144; 79.pdf
Revelação abre pra você                        ;    145; 80.pdf
A igreja que ora é vitoriosa                   ;    146; 80.pdf
Em tuas pisadas                                ;    147; 81.pdf
Andando em espírito (Fruto do Espírito)        ;    148; 81.pdf
Nós somos uma voz                              ;    149; 82.pdf
Cinco seixos                                   ;    150; 82.pdf
No princípio era o verbo                       ;    151; 83.pdf
Nas batalhas sou um vencedor (Armadura de Deus);    152; 84.pdf
Como Noé                                       ;    153; 85.pdf
Com o Espírito de Deus em minha vida           ;    154; 86.pdf
Quero estar em tua presença, ó Deus            ;    155; 87.pdf
Somos cidadãos do céu                          ;    156; 88.pdf
Este mundo não é meu lugar                     ;    157; 89.pdf
No caminho eu quero estar                      ;    158; 90.pdf
Servo do Senhor eu sou                         ;    159; 91.pdf
